Ref_area;REF_AREA;date;obsValue
Europe;EU27;1992-01-01;100,0000000000000
Italie;ITA;1992-01-01;100,0000000000000
États-Unis;USA;1992-01-01;100,0000000000000
Allemagne;DEU;1992-01-01;100,0000000000000
France;FRA;1992-01-01;100,0000000000000
Europe;EU27;1992-02-01;100,7002730745113
Italie;ITA;1992-02-01;100,0930762172281
États-Unis;USA;1992-02-01;100,8890436966792
Allemagne;DEU;1992-02-01;101,6861153268028
France;FRA;1992-02-01;99,3463975607740
Europe;EU27;1992-03-01;99,4397608195706
Italie;ITA;1992-03-01;99,9068360577792
États-Unis;USA;1992-03-01;101,9252638137335
Allemagne;DEU;1992-03-01;98,8326913840482
France;FRA;1992-03-01;100,3267958379544
Europe;EU27;1992-04-01;99,1596541798686
Italie;ITA;1992-04-01;100,0000000000000
États-Unis;USA;1992-04-01;102,4875104454376
Allemagne;DEU;1992-04-01;98,7029832228724
France;FRA;1992-04-01;99,3780201868168
Europe;EU27;1992-05-01;98,7394877450593
Italie;ITA;1992-05-01;99,7206836233229
États-Unis;USA;1992-05-01;103,0879248288256
Allemagne;DEU;1992-05-01;97,9247731565959
France;FRA;1992-05-01;99,6415707726856
Europe;EU27;1992-06-01;97,6190482357387
Italie;ITA;1992-06-01;99,5344434638740
États-Unis;USA;1992-06-01;103,4334950638664
Allemagne;DEU;1992-06-01;96,3683530240427
France;FRA;1992-06-01;98,4608886883563
Europe;EU27;1992-07-01;96,3585359807980
Italie;ITA;1992-07-01;98,1377738554959
États-Unis;USA;1992-07-01;104,3607228651651
Allemagne;DEU;1992-07-01;94,6822376972399
France;FRA;1992-07-01;97,9232502290434
Europe;EU27;1992-08-01;96,3585359807980
Italie;ITA;1992-08-01;96,4617878704407
États-Unis;USA;1992-08-01;103,8503640981111
Allemagne;DEU;1992-08-01;95,3307396023407
France;FRA;1992-08-01;98,2500460669978
Europe;EU27;1992-09-01;95,0980366763700
Italie;ITA;1992-09-01;95,4375985809605
États-Unis;USA;1992-09-01;104,0045559278574
Allemagne;DEU;1992-09-01;94,1634309863889
France;FRA;1992-09-01;96,6793121293114
Europe;EU27;1992-10-01;95,2380964714774
Italie;ITA;1992-10-01;96,0893952765355
États-Unis;USA;1992-10-01;104,6066056048051
Allemagne;DEU;1992-10-01;94,0337228252131
France;FRA;1992-10-01;97,0482678808837
Europe;EU27;1992-11-01;94,8179300366681
Italie;ITA;1992-11-01;97,2066607832438
États-Unis;USA;1992-11-01;104,9851270050743
Allemagne;DEU;1992-11-01;92,6069978869097
France;FRA;1992-11-01;96,5106401848880
Europe;EU27;1992-12-01;93,1372513469181
Italie;ITA;1992-12-01;95,3445223637324
États-Unis;USA;1992-12-01;104,9276954952568
Allemagne;DEU;1992-12-01;91,1802859155324
France;FRA;1992-12-01;94,8977355702664
Europe;EU27;1993-01-01;93,4173579866200
Italie;ITA;1993-01-01;97,3929009426928
États-Unis;USA;1993-01-01;105,9228043322197
Allemagne;DEU;1993-01-01;90,2723676880801
France;FRA;1993-01-01;95,1191154792001
Europe;EU27;1993-02-01;92,1568586821921
Italie;ITA;1993-02-01;96,5549518126615
États-Unis;USA;1993-02-01;106,2055465886959
Allemagne;DEU;1993-02-01;88,7159605224530
France;FRA;1993-02-01;94,2652292328252
Europe;EU27;1993-03-01;92,0168118375974
Italie;ITA;1993-03-01;96,1824714937636
États-Unis;USA;1993-03-01;106,0141681834014
Allemagne;DEU;1993-03-01;88,8456557167027
France;FRA;1993-03-01;93,8224694149577
Europe;EU27;1993-04-01;91,7366792968701
Italie;ITA;1993-04-01;95,6238387404095
États-Unis;USA;1993-04-01;106,5274704788630
Allemagne;DEU;1993-04-01;88,1971538116020
France;FRA;1993-04-01;93,8119321273826
Europe;EU27;1993-05-01;91,5966324522754
Italie;ITA;1993-05-01;95,0651182620626
États-Unis;USA;1993-05-01;106,3917247604704
Allemagne;DEU;1993-05-01;88,3268490058517
France;FRA;1993-05-01;93,4640401876434
Europe;EU27;1993-06-01;90,8963464272514
Italie;ITA;1993-06-01;94,6927256681574
États-Unis;USA;1993-06-01;106,2721193895122
Allemagne;DEU;1993-06-01;87,6783471007509
France;FRA;1993-06-01;92,4731153862050
Europe;EU27;1993-07-01;90,4761799924421
Italie;ITA;1993-07-01;94,2271691320314
États-Unis;USA;1993-07-01;106,4927204907189
Allemagne;DEU;1993-07-01;85,9922188070221
France;FRA;1993-07-01;94,0333120363163
Europe;EU27;1993-08-01;91,8767390919774
Italie;ITA;1993-08-01;94,3202453492595
États-Unis;USA;1993-08-01;106,2647769214290
Allemagne;DEU;1993-08-01;89,4941705887296
France;FRA;1993-08-01;93,2321229911345
Europe;EU27;1993-09-01;91,8767390919774
Italie;ITA;1993-09-01;95,0651182620626
États-Unis;USA;1993-09-01;107,0136759600400
Allemagne;DEU;1993-09-01;88,5862523612772
France;FRA;1993-09-01;93,5589188290889
Europe;EU27;1993-10-01;92,1568586821921
Italie;ITA;1993-10-01;94,7858018853855
États-Unis;USA;1993-10-01;107,8994490695997
Allemagne;DEU;1993-10-01;89,1050590721283
France;FRA;1993-10-01;94,0965572884018
Europe;EU27;1993-11-01;91,7366792968701
Italie;ITA;1993-11-01;95,8099911748657
États-Unis;USA;1993-11-01;108,4197667744325
Allemagne;DEU;1993-11-01;88,4565571670275
France;FRA;1993-11-01;92,2095648003362
Europe;EU27;1993-12-01;92,4369782724068
Italie;ITA;1993-12-01;95,5306747981887
États-Unis;USA;1993-12-01;109,0870810173488
Allemagne;DEU;1993-12-01;89,3644624275538
France;FRA;1993-12-01;92,5469086891830
Europe;EU27;1994-01-01;92,8571447072161
Italie;ITA;1994-01-01;96,5549518126615
États-Unis;USA;1994-01-01;109,1980356853761
Allemagne;DEU;1994-01-01;89,1050590721283
France;FRA;1994-01-01;94,5076944802265
Europe;EU27;1994-02-01;93,9775842165367
Italie;ITA;1994-02-01;97,6722173193698
États-Unis;USA;1994-02-01;109,3476486931551
Allemagne;DEU;1994-02-01;90,4020758492558
France;FRA;1994-02-01;94,0649346623591
Europe;EU27;1994-03-01;94,2576908562387
Italie;ITA;1994-03-01;99,1619631449761
États-Unis;USA;1994-03-01;110,7893234954073
Allemagne;DEU;1994-03-01;89,7535739441551
France;FRA;1994-03-01;94,6658183737575
Europe;EU27;1994-04-01;95,5182031111794
Italie;ITA;1994-04-01;100,8379491300313
États-Unis;USA;1994-04-01;111,7517918729181
Allemagne;DEU;1994-04-01;91,0505777543566
France;FRA;1994-04-01;96,0784176545957
Europe;EU27;1994-05-01;95,5182031111794
Italie;ITA;1994-05-01;100,7448729128031
États-Unis;USA;1994-05-01;112,4080188254995
Allemagne;DEU;1994-05-01;90,5317710435056
France;FRA;1994-05-01;96,9217666133954
Europe;EU27;1994-06-01;96,2184761856907
Italie;ITA;1994-06-01;101,7690622022833
États-Unis;USA;1994-06-01;112,7511361202006
Allemagne;DEU;1994-06-01;91,1802859155324
France;FRA;1994-06-01;97,2801958407098
Europe;EU27;1994-07-01;96,3585359807980
Italie;ITA;1994-07-01;101,9553023617323
États-Unis;USA;1994-07-01;113,1556096292626
Allemagne;DEU;1994-07-01;90,7911743989311
France;FRA;1994-07-01;98,3449247084433
Europe;EU27;1994-08-01;96,7787024156073
Italie;ITA;1994-08-01;102,1415425211812
États-Unis;USA;1994-08-01;114,1499008194456
Allemagne;DEU;1994-08-01;90,9208825601069
France;FRA;1994-08-01;98,8931004553314
Europe;EU27;1994-09-01;97,1988818009294
Italie;ITA;1994-09-01;102,6070113323146
États-Unis;USA;1994-09-01;114,6007021950545
Allemagne;DEU;1994-09-01;91,6990926263834
France;FRA;1994-09-01;98,4819740268239
Europe;EU27;1994-10-01;98,4593811053573
Italie;ITA;1994-10-01;102,3276949556375
États-Unis;USA;1994-10-01;115,6837407667237
Allemagne;DEU;1994-10-01;93,9040276309634
France;FRA;1994-10-01;99,7680720401739
Europe;EU27;1994-11-01;99,4397608195706
Italie;ITA;1994-11-01;104,0036809406926
États-Unis;USA;1994-11-01;116,6266346803247
Allemagne;DEU;1994-11-01;94,1634309863889
France;FRA;1994-11-01;101,3388059778603
Europe;EU27;1994-12-01;100,2801066397020
Italie;ITA;1994-12-01;106,7038562152280
États-Unis;USA;1994-12-01;117,9005774221559
Allemagne;DEU;1994-12-01;94,4228343418144
France;FRA;1994-12-01;100,8749715848425
Europe;EU27;1995-01-01;99,5798206146780
Italie;ITA;1995-01-01;106,1452234618738
États-Unis;USA;1995-01-01;118,0934275916541
Allemagne;DEU;1995-01-01;92,7367060480855
France;FRA;1995-01-01;101,1068887813514
Europe;EU27;1995-02-01;100,0000000000000
Italie;ITA;1995-02-01;105,9589833024249
États-Unis;USA;1995-02-01;117,8229009780691
Allemagne;DEU;1995-02-01;93,9040276309634
France;FRA;1995-02-01;101,5285632607513
Europe;EU27;1995-03-01;99,4397608195706
Italie;ITA;1995-03-01;106,0521472446457
États-Unis;USA;1995-03-01;118,1252504043263
Allemagne;DEU;1995-03-01;92,8664012423353
France;FRA;1995-03-01;100,8433489587998
Europe;EU27;1995-04-01;99,8599402048926
Italie;ITA;1995-04-01;106,4245398385509
États-Unis;USA;1995-04-01;117,7204498365524
Allemagne;DEU;1995-04-01;92,9961094035110
France;FRA;1995-04-01;101,1385114073941
Europe;EU27;1995-05-01;100,2801066397020
Italie;ITA;1995-05-01;107,2625766935748
États-Unis;USA;1995-05-01;118,1626005092304
Allemagne;DEU;1995-05-01;93,7743194697876
France;FRA;1995-05-01;100,4638343930178
Europe;EU27;1995-06-01;99,8599402048926
Italie;ITA;1995-06-01;107,2625766935748
États-Unis;USA;1995-06-01;118,7258283170703
Allemagne;DEU;1995-06-01;92,7367060480855
France;FRA;1995-06-01;101,2755499624575
Europe;EU27;1995-07-01;99,8599402048926
Italie;ITA;1995-07-01;106,8900963746770
États-Unis;USA;1995-07-01;117,9235696496057
Allemagne;DEU;1995-07-01;92,6069978869097
France;FRA;1995-07-01;101,7499431696850
Europe;EU27;1995-08-01;99,7198804097853
Italie;ITA;1995-08-01;109,0316388958582
États-Unis;USA;1995-08-01;119,2835124797428
Allemagne;DEU;1995-08-01;91,3099811097821
France;FRA;1995-08-01;100,8960461599928
Europe;EU27;1995-09-01;100,4201664348093
Italie;ITA;1995-09-01;108,1005258236061
États-Unis;USA;1995-09-01;120,3326187100477
Allemagne;DEU;1995-09-01;93,1258175646868
France;FRA;1995-09-01;101,5180259731761
Europe;EU27;1995-10-01;99,2997139749760
Italie;ITA;1995-10-01;108,9384749536374
États-Unis;USA;1995-10-01;120,1885329945005
Allemagne;DEU;1995-10-01;90,7911743989311
France;FRA;1995-10-01;100,3267958379544
Europe;EU27;1995-11-01;99,2997139749760
Italie;ITA;1995-11-01;108,3798422002832
États-Unis;USA;1995-11-01;120,2764790821424
Allemagne;DEU;1995-11-01;91,4396892709579
France;FRA;1995-11-01;99,3780201868168
Europe;EU27;1995-12-01;100,2801066397020
Italie;ITA;1995-12-01;109,9627519681102
États-Unis;USA;1995-12-01;120,6775184747290
Allemagne;DEU;1995-12-01;91,6990926263834
France;FRA;1995-12-01;101,8553590987056
Europe;EU27;1996-01-01;99,5798206146780
Italie;ITA;1996-01-01;108,3798422002832
États-Unis;USA;1996-01-01;119,9237299083745
Allemagne;DEU;1996-01-01;91,8287878206332
France;FRA;1996-01-01;100,7273742155695
Europe;EU27;1996-02-01;99,0195943847613
Italie;ITA;1996-02-01;107,0763365341259
États-Unis;USA;1996-02-01;121,6765356632996
Allemagne;DEU;1996-02-01;91,3099811097821
France;FRA;1996-02-01;100,0105372875752
Europe;EU27;1996-03-01;98,7394877450593
Italie;ITA;1996-03-01;105,7728308679686
États-Unis;USA;1996-03-01;121,3766555303175
Allemagne;DEU;1996-03-01;91,4396892709579
France;FRA;1996-03-01;101,0858034428838
Europe;EU27;1996-04-01;98,3193213102500
Italie;ITA;1996-04-01;104,9347940129447
États-Unis;USA;1996-04-01;122,8863585446542
Allemagne;DEU;1996-04-01;91,3099811097821
France;FRA;1996-04-01;100,5060050699529
Europe;EU27;1996-05-01;99,2997139749760
Italie;ITA;1996-05-01;105,3072743318426
États-Unis;USA;1996-05-01;123,8468809228289
Allemagne;DEU;1996-05-01;91,9584959818090
France;FRA;1996-05-01;102,0872762952146
Europe;EU27;1996-06-01;99,5798206146780
Italie;ITA;1996-06-01;105,5865907085197
États-Unis;USA;1996-06-01;125,0087242911411
Allemagne;DEU;1996-06-01;92,6069978869097
France;FRA;1996-06-01;101,6550645282395
Europe;EU27;1996-07-01;98,8795475401666
Italie;ITA;1996-07-01;105,4934267662989
États-Unis;USA;1996-07-01;125,5409469330887
Allemagne;DEU;1996-07-01;91,6990926263834
France;FRA;1996-07-01;99,5361548436650
Europe;EU27;1996-08-01;99,8599402048926
Italie;ITA;1996-08-01;105,9589833024249
États-Unis;USA;1996-08-01;126,1017218005890
Allemagne;DEU;1996-08-01;92,8664012423353
France;FRA;1996-08-01;102,3192042550407
Europe;EU27;1996-09-01;99,8599402048926
Italie;ITA;1996-09-01;104,2829973173697
États-Unis;USA;1996-09-01;127,0730044103867
Allemagne;DEU;1996-09-01;93,6446242755378
France;FRA;1996-09-01;102,0556536691718
Europe;EU27;1996-10-01;99,2997139749760
Italie;ITA;1996-10-01;104,6554776362676
États-Unis;USA;1996-10-01;126,9470377474812
Allemagne;DEU;1996-10-01;92,0881911760587
France;FRA;1996-10-01;101,0541808168411
Europe;EU27;1996-11-01;100,1400468445946
Italie;ITA;1996-11-01;104,0968448829135
États-Unis;USA;1996-11-01;128,0566825453671
Allemagne;DEU;1996-11-01;93,6446242755378
France;FRA;1996-11-01;102,3824495071262
Europe;EU27;1996-12-01;99,8599402048926
Italie;ITA;1996-12-01;103,3519719701103
États-Unis;USA;1996-12-01;129,1472271144755
Allemagne;DEU;1996-12-01;93,3852209201123
France;FRA;1996-12-01;102,2454001887455
Europe;EU27;1997-01-01;99,8599402048926
Italie;ITA;1997-01-01;104,2829973173697
États-Unis;USA;1997-01-01;129,3278452881469
Allemagne;DEU;1997-01-01;92,4773026926600
France;FRA;1997-01-01;101,2966460642424
Europe;EU27;1997-02-01;101,1204395093206
Italie;ITA;1997-02-01;106,4245398385509
États-Unis;USA;1997-02-01;131,1105115034726
Allemagne;DEU;1997-02-01;93,7743194697876
France;FRA;1997-02-01;103,1309305877977
Europe;EU27;1997-03-01;102,5210115593686
Italie;ITA;1997-03-01;107,0763365341259
États-Unis;USA;1997-03-01;132,3841271865919
Allemagne;DEU;1997-03-01;95,0713362469152
France;FRA;1997-03-01;104,3221499597021
Europe;EU27;1997-04-01;103,5013912735819
Italie;ITA;1997-04-01;109,0316388958582
États-Unis;USA;1997-04-01;132,2715535779405
Allemagne;DEU;1997-04-01;94,5525295360641
France;FRA;1997-04-01;107,4425432599246
Europe;EU27;1997-05-01;102,2408790186412
Italie;ITA;1997-05-01;108,8453987364092
États-Unis;USA;1997-05-01;133,2322231325356
Allemagne;DEU;1997-05-01;93,3852209201123
France;FRA;1997-05-01;105,1444135800343
Europe;EU27;1997-06-01;104,3417241432006
Italie;ITA;1997-06-01;109,6834355914331
États-Unis;USA;1997-06-01;134,0708507287686
Allemagne;DEU;1997-06-01;96,6277563794683
France;FRA;1997-06-01;105,9350545743237
Europe;EU27;1997-07-01;105,3221297584393
Italie;ITA;1997-07-01;110,4283085042362
États-Unis;USA;1997-07-01;135,1044707290629
Allemagne;DEU;1997-07-01;97,9247731565959
France;FRA;1997-07-01;106,1037265187471
Europe;EU27;1997-08-01;105,1820699633319
Italie;ITA;1997-08-01;111,3593338514956
États-Unis;USA;1997-08-01;136,7525195785521
